iter	Logloss
0	0.674605968
1	0.6512185153
2	0.633597482
3	0.6185282904
4	0.6025457183
5	0.5887354786
6	0.5752047218
7	0.5590557173
8	0.5473770272
9	0.5354720064
10	0.5208762375
11	0.5112664555
12	0.5013853966
13	0.4896562485
14	0.481358709
15	0.4741377446
16	0.4668121072
17	0.4583798026
18	0.4493234933
19	0.4421183082
20	0.4356647456
21	0.429334638
22	0.4232254696
23	0.4172867385
24	0.4100353308
25	0.4045578434
26	0.3996437911
27	0.3941570326
28	0.3890691152
29	0.384498119
30	0.3791267934
31	0.3739173082
32	0.3704155097
33	0.3671027822
34	0.3629079564
35	0.3589484704
36	0.3559426787
37	0.3527760616
38	0.350243732
39	0.3482807077
40	0.3451125987
41	0.3416915219
42	0.3400515119
43	0.3375353747
44	0.3351167
45	0.3332020321
46	0.331432071
47	0.3288739666
48	0.3268549831
49	0.3251240038
50	0.3228051705
51	0.3212611166
52	0.318758881
53	0.3170463669
54	0.3153993532
55	0.3137897516
56	0.3116181954
57	0.3091506112
58	0.3073341752
59	0.3055901035
60	0.3035204138
61	0.3021618593
62	0.3007482671
63	0.29925761
64	0.2980166037
65	0.2967050684
66	0.2952651323
67	0.2943142779
68	0.292797773
69	0.2918790448
70	0.2905778172
71	0.2892259518
72	0.2881777033
73	0.2870439464
74	0.2859488339
75	0.2850791511
76	0.2834201813
77	0.2827136251
78	0.2816973056
79	0.2805531177
80	0.2795293451
81	0.2783295977
82	0.277270488
83	0.2764195554
84	0.2755665047
85	0.2747254879
86	0.2737207972
87	0.2728335483
88	0.2715824704
89	0.2704430218
90	0.2696421761
91	0.2688768074
92	0.267884034
93	0.2673022847
94	0.2662693852
95	0.265310413
96	0.2642308086
97	0.2634619574
98	0.2628177025
99	0.2618739068
100	0.2612192418
101	0.2611224344
102	0.2607149943
103	0.2601644419
104	0.2595416816
105	0.2590931343
106	0.25827303
107	0.25754653
108	0.2568267744
109	0.2562730837
110	0.2555221318
111	0.2547755281
112	0.2537584153
113	0.2532724166
114	0.252749884
115	0.2517066316
116	0.2509920172
117	0.2503028227
118	0.2498912508
119	0.2492049013
120	0.2486442449
121	0.2480941168
122	0.2476606757
123	0.2471132353
124	0.2464947833
125	0.2459723232
126	0.2451991212
127	0.244713335
128	0.2441470178
129	0.2435696685
130	0.2430438602
131	0.2426714851
132	0.2423213505
133	0.2419431219
134	0.2413467481
135	0.2411530289
136	0.2403150332
137	0.2399969812
138	0.2392509274
139	0.2389138416
140	0.2382359784
141	0.2379770737
142	0.237559341
143	0.2371111321
144	0.236537941
145	0.2360728241
146	0.2357591085
147	0.2355261381
148	0.2351933999
149	0.2348199501
150	0.2346093713
151	0.2341681274
152	0.2336063952
153	0.2330350039
154	0.2325228995
155	0.2318113468
156	0.2316316528
157	0.231430752
158	0.2310327843
159	0.2304238774
160	0.2301346848
161	0.2298430968
162	0.2294758147
163	0.2288031292
164	0.2283431609
165	0.2279847184
166	0.2275753785
167	0.2271940621
168	0.2268580443
169	0.2263876316
170	0.2255550488
171	0.2251569175
172	0.2248175027
173	0.2241546909
174	0.2237236082
175	0.2232647309
176	0.2228903037
177	0.2225209299
178	0.2219958061
179	0.221545916
180	0.2212838978
181	0.2209263145
182	0.2207196913
183	0.2201027819
184	0.2197158657
185	0.2194397151
186	0.2190904802
187	0.218762842
188	0.2181601255
189	0.2175216743
190	0.2171866829
191	0.2166858981
192	0.2161383633
193	0.2158913069
194	0.2155482477
195	0.2152576081
196	0.214957782
197	0.2146176484
198	0.2143485832
199	0.214012844
200	0.2137076381
201	0.2132467649
202	0.2131061914
203	0.2129311783
204	0.212568985
205	0.2124669026
206	0.2121104861
207	0.2120631003
208	0.2117798773
209	0.2114940551
210	0.2112956823
211	0.210954877
212	0.2109287586
213	0.2105681577
214	0.2102989221
215	0.2100185278
216	0.209630466
217	0.2093330382
218	0.2093097597
219	0.2087633519
220	0.2084744601
221	0.2082103695
222	0.2080139071
223	0.2078179165
224	0.2076491415
225	0.2073487081
226	0.2072092273
227	0.2069546185
228	0.2066728514
229	0.2061276809
230	0.2058784354
231	0.205400498
232	0.2052678818
233	0.2051084537
234	0.2048834574
235	0.2045413275
236	0.2042808295
237	0.2040753704
238	0.2036394737
239	0.2033316939
240	0.2032412737
241	0.2029030705
242	0.2024720515
243	0.2023399996
244	0.2019460799
245	0.2017890963
246	0.2014361734
247	0.2010404211
248	0.2007831356
249	0.2005714828
250	0.2003921994
251	0.2001035863
252	0.1999378864
253	0.1996977558
254	0.1994227814
255	0.1989283976
256	0.198665068
257	0.1984375245
258	0.1980492857
259	0.197522667
260	0.197297792
261	0.1970004746
262	0.1966526316
263	0.1962824899
264	0.1959918292
265	0.1959276004
266	0.1957529805
267	0.1956248308
268	0.195442348
269	0.1951240863
270	0.1949144962
271	0.1946761641
272	0.1944612297
273	0.1942693219
274	0.1939809895
275	0.193640502
276	0.1933119236
277	0.1930037141
278	0.1927479052
279	0.192455217
280	0.1922118371
281	0.1920609256
282	0.1918187909
283	0.1913041231
284	0.1911482285
285	0.1908872242
286	0.1904666832
287	0.1901683766
288	0.1899008487
289	0.189627241
290	0.1893460487
291	0.1888773254
292	0.1887094592
293	0.1884776076
294	0.1882958528
295	0.1876995577
296	0.1875265829
297	0.1873303707
298	0.186987436
299	0.1867572783
300	0.1866041748
301	0.1864132489
302	0.1862545923
303	0.1857945016
304	0.1855551055
305	0.1854742848
306	0.1851580711
307	0.1848697798
308	0.184768714
309	0.1845539853
310	0.1844037457
311	0.1841568677
312	0.1840029488
313	0.183821619
314	0.1836499682
315	0.183406384
316	0.182992688
317	0.182651427
318	0.1823727494
319	0.1820714869
320	0.1817984549
